접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2024,11620,관악구,10200,신림동,1,대지,571,5,모던하우스,20240131,21000,26.82,15.56,5,,,2019,연립다세대,직거래,
2024,11500,강서구,10800,공항동,1,대지,676,1,칠성하이츠빌,20240131,15000,35.36,20.75,3,,,2007,연립다세대,중개거래,서울 강서구
2024,11500,강서구,10500,마곡동,1,대지,758,1,마곡럭스나인오피스텔 엘동,20240131,15600,21.87,32.94,5,,,2017,오피스텔,중개거래,서울 강서구
2024,11530,구로구,10200,구로동,1,대지,44,8,비즈트위트 오렌지,20240131,15000,20.8,31.43,8,,,2013,오피스텔,중개거래,서울 영등포구
2024,11740,강동구,10900,천호동,1,대지,39,9,미래위너스,20240131,26400,29.96,19.16,4,,,2016,연립다세대,중개거래,서울 강동구
2024,11140,중구,14500,광희동1가,1,대지,89,1,광희동금호트윈 오피스텔,20240131,9850,21.96,31.13,14,,,1999,오피스텔,중개거래,서울 중구
2024,11710,송파구,11300,거여동,1,대지,605,0,휴먼빌 시티,20240131,18000,24.15,35.41,4,,,2020,오피스텔,중개거래,서울 송파구
2024,11380,은평구,10700,응암동,1,대지,91,7,CJ드림시티,20240131,12900,24.84,34.07,15,,,2004,오피스텔,중개거래,서울 은평구
2024,11500,강서구,10100,염창동,1,대지,253,6,링크253,20240131,21500,28.35,13.2,2,,,2016,연립다세대,중개거래,서울 강서구
2024,11380,은평구,10900,신사동,1,대지,355,0,현대2,20240131,55800,84.83,0,4,,,1994,아파트,중개거래,서울 은평구
2024,11530,구로구,11000,온수동,1,대지,86,10,에코그린빌,20240131,23900,29.56,23.85,2,,,2019,연립다세대,직거래,
2024,11590,동작구,10700,사당동,1,대지,321,25,에덴빌,20240130,55000,83.38,47.27,4,,,2008,연립다세대,직거래,
2024,11530,구로구,10200,구로동,1,대지,166,34,유니아트빌,20240130,28000,52.17,26.25,2,,20240130,2019,연립다세대,중개거래,서울 구로구
2024,11620,관악구,10100,봉천동,1,대지,1717,0,관악푸르지오,20240130,73000,59.58,0,8,,,2004,아파트,중개거래,서울 관악구
2024,11530,구로구,10200,구로동,1,대지,166,34,유니아트빌,20240130,36500,52.17,26.25,2,,,2019,연립다세대,중개거래,서울 구로구
2024,11740,강동구,10500,길동,1,대지,343,2,현대웰하임(201동),20240130,8000,14.47,0,2,,,2012,아파트,중개거래,서울 강동구
