시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202306,3,"29,000",4,2021,감정로 87,,20230626,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202306,10,"28,700",3,2021,감정로 87,,20230821,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,69.9958,202306,14,"30,500",6,2021,감정로 87,,20230619,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,69.9958,202307,17,"31,100",5,2021,감정로 87,,20230904,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202307,21,"31,000",9,2021,감정로 87,,20230809,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202308,3,"29,000",8,2021,감정로 87,,20231016,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202308,5,"25,000",1,2021,감정로 87,,20230901,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202308,7,"29,800",6,2021,감정로 87,,20230915,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202309,13,"29,700",6,2021,감정로 87,,20231106,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202309,14,"30,000",13,2021,감정로 87,, ,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9941,202310,2,"24,000",4,2021,감정로 87,,20231019,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202310,14,"30,000",11,2021,감정로 87,,20231229,중개거래,"경기 김포시, 경기 화성시"
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,69.9958,202310,14,"32,400",3,2021,감정로 87,,20231117,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,75.9996,202310,16,"32,500",10,2021,감정로 87,,20231016,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202310,23,"30,500",7,2021,감정로 87,,20231227,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202310,28,"29,300",4,2021,감정로 87,,20231109,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,75.9953,202310,30,"32,000",2,2021,감정로 87,,20231103,직거래,-
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202311,8,"29,400",14,2021,감정로 87,,20231226,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202311,10,"29,500",5,2021,감정로 87,,20240119,중개거래,"경기 고양일산동구, 경기 김포시"
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202311,18,"30,000",14,2021,감정로 87,,20231222,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,69.9958,202312,1,"32,300",10,2021,감정로 87,, ,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9941,202312,6,"25,000",11,2021,감정로 87,,20231221,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,75.9953,202312,25,"33,900",6,2021,감정로 87,, ,중개거래,경기 김포시
경기도 김포시 감정동,705,705,0,김포센트럴헤센1단지,59.9919,202401,9,"28,800",1,2021,감정로 87,, ,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,59.9919,202306,1,"28,700",17,2022,감정로 85,,20230717,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,75.9996,202306,6,"38,000",15,2022,감정로 85,,20230714,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,59.9919,202306,7,"28,800",15,2022,감정로 85,,20230728,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,59.9919,202306,22,"27,500",16,2022,감정로 85,,20230804,중개거래,"경기 김포시, 인천 서구"
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,59.9941,202307,6,"27,100",5,2022,감정로 85,,20230717,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,75.9996,202307,28,"31,000",4,2022,감정로 85,,20230817,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,59.9941,202308,5,"28,800",2,2022,감정로 85,,20231121,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,59.9941,202311,2,"26,900",6,2022,감정로 85,,20231129,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,59.9941,202312,21,"26,000",2,2022,감정로 85,, ,중개거래,경기 김포시
경기도 김포시 감정동,706,706,0,김포센트럴헤센2단지,59.9919,202401,13,"27,300",3,2022,감정로 85,,20240126,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202306,6,"41,000",9,2012,중봉로 1-1,,20231006,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8026,202306,6,"41,500",14,2012,중봉로 1-1,,20230822,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8026,202306,16,"41,000",14,2012,중봉로 1-1,,20230621,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202308,5,"39,500",13,2012,중봉로 1-1,,20230830,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8026,202308,28,"39,000",4,2012,중봉로 1-1,,20231030,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202308,29,"43,500",8,2012,중봉로 1-1,,20231129,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,118.014,202309,26,"54,800",16,2012,중봉로 1-1,,20231212,중개거래,"경기 김포시, 인천 서구"
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202310,3,"40,800",13,2012,중봉로 1-1,,20231120,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202310,6,"39,000",14,2012,중봉로 1-1,,20231106,직거래,-
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202310,6,"42,500",13,2012,중봉로 1-1,,20231226,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202310,18,"41,500",12,2012,중봉로 1-1,,20231211,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8026,202311,4,"41,000",12,2012,중봉로 1-1,,20231228,중개거래,"경기 김포시, 서울 강남구"
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8026,202311,4,"39,600",6,2012,중봉로 1-1,,20240119,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202311,21,"40,300",1,2012,중봉로 1-1,,20231211,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,118.014,202311,22,"59,000",8,2012,중봉로 1-1,, ,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,118.014,202312,25,"52,500",8,2012,중봉로 1-1,, ,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,118.014,202401,6,"51,500",4,2012,중봉로 1-1,, ,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8674,202401,7,"38,300",1,2012,중봉로 1-1,20240130, ,중개거래,경기 김포시
경기도 김포시 감정동,696,696,0,김포한강신안실크밸리3차,84.8026,202401,17,"41,000",7,2012,중봉로 1-1,, ,중개거래,경기 김포시
경기도 김포시 감정동,659,659,0,삼환,101.94,202306,7,"39,000",5,1995,봉화로181번길 30,,20231222,중개거래,경기 김포시
경기도 김포시 감정동,659,659,0,삼환,118.14,202309,18,"37,000",8,1995,봉화로181번길 30,,20231219,중개거래,경기 김포시
경기도 김포시 감정동,659,659,0,삼환,101.94,202312,23,"40,400",10,1995,봉화로181번길 30,, ,중개거래,경기 김포시
경기도 김포시 감정동,671,671,0,삼환아파트(201동),101.96,202312,18,"34,000",6,1995,봉화로167번길 35-7,, ,중개거래,경기 김포시
경기도 김포시 감정동,694,694,0,신안실크밸리2,84.705,202307,3,"24,000",3,2001,감정로 75,,20231214,중개거래,경기 김포시
경기도 김포시 감정동,694,694,0,신안실크밸리2,84.9943,202310,3,"28,700",10,2001,감정로 75,,20231101,중개거래,경기 김포시
경기도 김포시 감정동,694,694,0,신안실크밸리2,84.705,202311,13,"23,200",7,2001,감정로 75,,20231220,중개거래,경기 김포시
경기도 김포시 감정동,694,694,0,신안실크밸리2,84.705,202401,27,"25,800",1,2001,감정로 75,, ,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,47.76,202306,23,"11,000",1,1992,감정로 3,,20230726,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,47.76,202306,26,"11,000",1,1992,감정로 3,,20230727,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,47.76,202308,4,"11,000",2,1992,감정로 3,,20230810,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,47.76,202308,8,"12,500",3,1992,감정로 3,,20231010,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,47.76,202308,18,"11,200",3,1992,감정로 3,,20231019,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,44.26,202308,28,"12,400",3,1992,감정로 3,,20230907,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,44.26,202308,30,"12,300",4,1992,감정로 3,,20230920,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,44.26,202309,8,"11,000",3,1992,감정로 3,,20230925,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,47.76,202309,15,"11,000",3,1992,감정로 3,,20231019,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,47.76,202311,9,"11,000",1,1992,감정로 3,,20231211,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,44.26,202311,11,"8,100",6,1992,감정로 3,,20231208,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,44.26,202311,28,"11,550",4,1992,감정로 3,,20231211,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,44.26,202312,2,"11,500",1,1992,감정로 3,,20231229,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,44.26,202312,18,"11,000",1,1992,감정로 3,,20240105,중개거래,경기 김포시
경기도 김포시 감정동,550-1,550,1,신한,44.26,202401,22,"13,100",3,1992,감정로 3,, ,중개거래,경기 김포시
경기도 김포시 감정동,674,674,0,신화,84.75,202307,18,"24,500",2,1995,봉화로167번길 35-18,,20230825,중개거래,경기 김포시
경기도 김포시 감정동,674,674,0,신화,84.75,202308,20,"25,000",3,1995,봉화로167번길 35-18,,20230927,중개거래,경기 김포시
경기도 김포시 감정동,674,674,0,신화,84.75,202308,26,"29,300",8,1995,봉화로167번길 35-18,,20231005,중개거래,경기 김포시
경기도 김포시 감정동,674,674,0,신화,84.75,202309,19,"28,500",9,1995,봉화로167번길 35-18,,20231121,중개거래,경기 김포시
경기도 김포시 감정동,674,674,0,신화,84.75,202310,30,"27,000",8,1995,봉화로167번길 35-18,,20231130,중개거래,경기 김포시
경기도 김포시 감정동,674,674,0,신화,84.75,202311,4,"29,800",11,1995,봉화로167번길 35-18,,20231222,중개거래,경기 김포시
