시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
경기도 김포시 감정동,550-38,550,38,MU빌리지,69.68,32.42,202311,22,"20,000",4,2018,감정로 13,,중개거래,경기 김포시
경기도 김포시 감정동,456-1,456,1,"대지연립가,나동",70.2,95.43,202311,7,"15,000",3,1985,봉화로167번길 6-14,,직거래,-
경기도 김포시 감정동,523-10,523,10,"더포인트1,2동",47.19,26.81,202309,25,"20,000",5,2016,중봉로58번길 34,,직거래,-
경기도 김포시 감정동,456-5,456,5,리치빌,37.37,19.78,202312,20,"8,000",2,2003,봉화로167번길 6-16,,직거래,-
경기도 김포시 감정동,523-8,523,8,"미소가1,2동",47.19,26.1,202309,23,"17,500",4,2016,중봉로58번길 30,,중개거래,경기 김포시
경기도 김포시 감정동,590-2,590,2,"보니타1,2동",34.9,23.66,202309,19,"14,185",5,2016,감정로 22,,직거래,-
경기도 김포시 감정동,448-13,448,13,한터맨션,41.62,20.2,202311,13,"9,500",4,2002,봉화로167번길 6-12,,중개거래,경기 김포시
경기도 김포시 걸포동,384-17,384,17,"유진빌라(3,5동)",34.38,26.88,202308,22,"11,000",2,1992,김포대로 998-32,,중개거래,경기 김포시
경기도 김포시 걸포동,384-17,384,17,"유진빌라(3,5동)",39.48,30.88,202310,10,"11,000",4,1992,김포대로 998-34,,중개거래,경기 김포시
경기도 김포시 걸포동,384-17,384,17,"유진빌라(3,5동)",34.38,26.88,202312,20,"10,000",4,1992,김포대로 998-32,20240103,직거래,-
경기도 김포시 고촌읍 신곡리,1202,1202,0,고촌솔리힐더테라스101동-106동,84.9652,83.87,202307,7,"61,000",5,2018,수기로 78,,중개거래,경기 김포시
경기도 김포시 고촌읍 신곡리,1202,1202,0,고촌솔리힐더테라스101동-106동,84.9593,83.87,202308,4,"58,500",1,2018,수기로 78,,중개거래,경기 김포시
경기도 김포시 고촌읍 신곡리,1202,1202,0,고촌솔리힐더테라스101동-106동,84.9593,83.87,202308,15,"49,800",2,2018,수기로 78,20231013,중개거래,경기 김포시
경기도 김포시 고촌읍 신곡리,1202,1202,0,고촌솔리힐더테라스101동-106동,84.9593,83.87,202310,13,"49,800",2,2018,수기로 78,,중개거래,경기 김포시
