시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
경기도 김포시 고촌읍 신곡리,1075,1075,0,1동(1075-0),39.57,202311,27,"13,000",9,2013,김포대로 349,,직거래,-
경기도 김포시 고촌읍 신곡리,532-32,532,32,고촌 헤센스마트,28.13,202311,24,"22,000",11,2023,김포대로 328,20231206,중개거래,경기 김포시
경기도 김포시 고촌읍 신곡리,532-32,532,32,고촌 헤센스마트,51.26,202311,28,"33,877",13,2023,김포대로 328,,직거래,-
경기도 김포시 고촌읍 신곡리,532-32,532,32,고촌 헤센스마트,28.13,202311,28,"22,000",13,2023,김포대로 328,,직거래,-
경기도 김포시 고촌읍 신곡리,1067-2,1067,2,라르 플레이스 김포,21.12,202307,5,"12,000",9,2018,장차로5번길 9,,직거래,-
경기도 김포시 구래동,Jun.79,6879,6,NK리움힐오피스텔,29.38,202307,17,"10,500",4,2019,김포한강4로 547,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,23.78,202307,8,"10,000",12,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,23.78,202308,21,"8,000",16,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,30.65,202308,24,"15,000",16,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,43.41,202308,27,"22,000",13,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,23.78,202310,12,"8,200",19,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,43.59,202311,20,"22,300",14,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,30.65,202311,25,"14,300",9,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,23.78,202312,12,"8,200",11,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,23.78,202401,5,"8,800",18,2018,김포한강9로75번길 158,,중개거래,"경기 김포시, 인천 부평구"
경기도 김포시 구래동,Jan.82,6882,1,e편한세상 시티 한강신도시,30.65,202401,17,"14,300",11,2018,김포한강9로75번길 158,,중개거래,경기 김포시
경기도 김포시 구래동,6871-33,6871,33,김포 THE럭스나인 오피스텔 ,20.98,202306,7,"7,500",8,2020,김포한강10로133번길 142,,중개거래,경기 김포시
경기도 김포시 구래동,6871-41,6871,41,김포 The럭스나인 오피스텔,21.6,202312,1,"13,640",8,2020,김포한강10로133번길 126,,직거래,-
경기도 김포시 구래동,6871-41,6871,41,김포 The럭스나인 오피스텔,21.6,202401,3,"13,640",8,2020,김포한강10로133번길 126,,직거래,-
경기도 김포시 구래동,Mar.81,6881,3,김포 안강 럭스나인,21.75,202306,20,"10,000",15,null,김포한강9로75번길 132,,중개거래,경기 김포시
경기도 김포시 구래동,Mar.81,6881,3,김포 안강 럭스나인,27.89,202312,18,"15,900",10,null,김포한강9로75번길 132,,직거래,-
경기도 김포시 구래동,Mar.81,6881,3,김포 안강 럭스나인,21.67,202401,9,"7,900",16,null,김포한강9로75번길 132,,중개거래,경기 김포시
경기도 김포시 구래동,Dec.78,6878,12,김포한강 트루엘,23.16,202306,20,"15,000",2,2020,김포한강10로 170,,직거래,-
경기도 김포시 구래동,6871-26,6871,26,노블팰리스Ⅱ,36.82,202307,24,"16,300",7,2019,대곶남로 736,,중개거래,경기 김포시
경기도 김포시 구래동,6871-26,6871,26,노블팰리스Ⅱ,37.6,202312,14,"13,900",9,2019,대곶남로 736,,중개거래,"경기 김포시, 서울 강서구"
경기도 김포시 구래동,Apr.86,6886,4,메트로타워 예미지,84.98,202401,6,"36,600",18,2021,솔터로 22,,중개거래,경기 김포시
경기도 김포시 구래동,6878-14,6878,14,연세6차:라스토케,28.17,202312,6,"9,800",6,2018,김포한강8로 426,,중개거래,경기 김포시
경기도 김포시 구래동,6871-57,6871,57,연세Y7 두애틱,20.82,202307,17,"10,000",8,2020,김포한강10로133번길 74,,직거래,-
경기도 김포시 구래동,Jul.78,6878,7,중일 라크리움,21.27,202312,5,"12,500",10,2021,김포한강10로 190,,중개거래,경기 김포시
경기도 김포시 구래동,Apr.81,6881,4,태림 더 끌리움 1차,26.94,202307,3,"10,500",10,2018,김포한강9로75번길 142,,중개거래,경기 김포시
경기도 김포시 구래동,Apr.81,6881,4,태림 더 끌리움 1차,26.94,202308,25,"8,000",13,2018,김포한강9로75번길 142,,중개거래,경기 김포시
경기도 김포시 구래동,Sep.78,6878,9,한강신도시 세종헤르메스,21.55,202311,1,"7,500",15,2020,김포한강10로 180,,중개거래,경기 수원영통구
경기도 김포시 구래동,Sep.78,6878,9,한강신도시 세종헤르메스,21.55,202401,11,"8,000",16,2020,김포한강10로 180,,중개거래,경기 김포시
경기도 김포시 구래동,6871-53,6871,53,현대썬앤빌 더 킹,22.02,202307,12,"10,000",4,2022,김포한강10로133번길 40,,직거래,-
경기도 김포시 구래동,6871-53,6871,53,현대썬앤빌 더 킹,22.02,202308,13,"9,400",10,2022,김포한강10로133번길 40,,중개거래,경기 김포시
